,zeilen,zeichen
2741,"Vorschriften des Artikels 29 unter Beteiligung ihrer Wahlberechtigten durch Vereinbarung beider Länder erfolgen.
",113
2742,"Art 119 
",9
2743,"
",1
2744," 
",2
2745,"
",1
2746,"In Angelegenheiten der Flüchtlinge und Vertriebenen, insbesondere zu ihrer Verteilung auf die Länder, kann bis
",111
2747,"zu einer bundesgesetzlichen Regelung die Bundesregierung mit Zustimmung des Bundesrates Verordnungen
",101
2748,"mit Gesetzeskraft erlassen. Für besondere Fälle kann dabei die Bundesregierung ermächtigt werden,
",98
2749,"Einzelweisungen zu erteilen. Die Weisungen sind außer bei Gefahr im Verzuge an die obersten Landesbehörden
",107
2750,"zu richten.
",12
2751,"Art 120 
",9
2752,"
",1
2753," 
",2
2754,"
",1
2755,"(1) Der Bund trägt die Aufwendungen für Besatzungskosten und die sonstigen inneren und äußeren
",95
2756,"Kriegsfolgelasten nach näherer Bestimmung von Bundesgesetzen. Soweit diese Kriegsfolgelasten bis zum 1.
",104
2757,"Oktober 1969 durch Bundesgesetze geregelt worden sind, tragen Bund und Länder im Verhältnis zueinander
",103
2758,"die Aufwendungen nach Maßgabe dieser Bundesgesetze. Soweit Aufwendungen für Kriegsfolgelasten, die in
",102
2759,"Bundesgesetzen weder geregelt worden sind noch geregelt werden, bis zum 1. Oktober 1965 von den Ländern,
",105
2760,"Gemeinden (Gemeindeverbänden) oder sonstigen Aufgabenträgern, die Aufgaben von Ländern oder Gemeinden
",102
2761,"erfüllen, erbracht worden sind, ist der Bund zur Übernahme von Aufwendungen dieser Art auch nach diesem
",104
2762,"Zeitpunkt nicht verpflichtet. Der Bund trägt die Zuschüsse zu den Lasten der Sozialversicherung mit Einschluß
",110
2763,"der Arbeitslosenversicherung und der Arbeitslosenhilfe. Die durch diesen Absatz geregelte Verteilung der
",105
2764,"Kriegsfolgelasten auf Bund und Länder läßt die gesetzliche Regelung von Entschädigungsansprüchen für
",101
2765,"Kriegsfolgen unberührt.
",24
2766,"(2) Die Einnahmen gehen auf den Bund zu demselben Zeitpunkte über, an dem der Bund die Ausgaben
",96
2767,"übernimmt.
",11
2768,"Art 120a 
",10
2769,"
",1
2770," 
",2
2771,"
",1
2772,"(1) Die Gesetze, die der Durchführung des Lastenausgleichs dienen, können mit Zustimmung des Bundesrates
",105
2773,"bestimmen, daß sie auf dem Gebiete der Ausgleichsleistungen teils durch den Bund, teils im Auftrage des
",104
2774,"Bundes durch die Länder ausgeführt werden und daß die der Bundesregierung und den zuständigen obersten
",103
2775,"Bundesbehörden auf Grund des Artikels 85 insoweit zustehenden Befugnisse ganz oder teilweise dem
",97
2776,"- Seite 40 von 50 -
",20
2777,"
",1
2778,"Ein Service des Bundesministeriums der Justiz und für Verbraucherschutz
",73
2779,"sowie des Bundesamts für Justiz ‒ www.gesetze-im-internet.de
",61
2780,"
",1
2781,"Bundesausgleichsamt übertragen werden. Das Bundesausgleichsamt bedarf bei Ausübung dieser Befugnisse
",101
2782,"nicht der Zustimmung des Bundesrates; seine Weisungen sind, abgesehen von den Fällen der Dringlichkeit, an
",107
2783,"die obersten Landesbehörden (Landesausgleichsämter) zu richten.
",64
2784,"(2) Artikel 87 Abs. 3 Satz 2 bleibt unberührt.
",47
2785,"Art 121 
",9
2786,"
",1
2787," 
",2
2788,"
",1
2789,"Mehrheit der Mitglieder des Bundestages und der Bundesversammlung im Sinne dieses Grundgesetzes ist die
",104
2790,"Mehrheit ihrer gesetzlichen Mitgliederzahl.
",44
2791,"Art 122 
",9
2792,"
",1
2793," 
",2
2794,"
",1
2795,"(1) Vom Zusammentritt des Bundestages an werden die Gesetze ausschließlich von den in diesem Grundgesetze
",106
2796,"anerkannten gesetzgebenden Gewalten beschlossen.
",49
2797,"(2) Gesetzgebende und bei der Gesetzgebung beratend mitwirkende Körperschaften, deren Zuständigkeit nach
",105
2798,"Absatz 1 endet, sind mit diesem Zeitpunkt aufgelöst.
",53
2799,"Art 123 
",9
2800,"
",1
2801," 
",2
2802,"
",1
2803,"(1) Recht aus der Zeit vor dem Zusammentritt des Bundestages gilt fort, soweit es dem Grundgesetze nicht
",105
2804,"widerspricht.
",14
2805,"(2) Die vom Deutschen Reich abgeschlossenen Staatsverträge, die sich auf Gegenstände beziehen, für die
",103
2806,"nach diesem Grundgesetze die Landesgesetzgebung zuständig ist, bleiben, wenn sie nach allgemeinen
",98
2807,"Rechtsgrundsätzen gültig sind und fortgelten, unter Vorbehalt aller Rechte und Einwendungen der Beteiligten in
",111
2808,"Kraft, bis neue Staatsverträge durch die nach diesem Grundgesetze zuständigen Stellen abgeschlossen werden
",107
2809,"oder ihre Beendigung auf Grund der in ihnen enthaltenen Bestimmungen anderweitig erfolgt.
",90
2810,"Art 124 
",9
2811,"
",1
2812," 
",2
2813,"
",1
2814,"Recht, das Gegenstände der ausschließlichen Gesetzgebung des Bundes betrifft, wird innerhalb seines
",100
2815,"Geltungsbereiches Bundesrecht.
",31
2816,"Art 125 
",9
2817,"
",1
2818," 
",2
2819,"
",1
2820,"Recht, das Gegenstände der konkurrierenden Gesetzgebung des Bundes betrifft, wird innerhalb seines
",99
2821,"Geltungsbereiches Bundesrecht,
",31
2822,"1.   soweit es innerhalb einer oder mehrerer Besatzungszonen einheitlich gilt,
",79
2823,"2.   soweit es sich um Recht handelt, durch das nach dem 8. Mai 1945 früheres Reichsrecht abgeändert worden
",108
2824,"ist.
",5
2825," 
",2
2826,"
",1
2827," 
",2
2828,"
",1
2829,"Art 125a 
",10
2830,"
",1
2831," 
",2
2832,"
",1
2833,"(1) Recht, das als Bundesrecht erlassen worden ist, aber wegen der Änderung des Artikels 74 Abs. 1, der
",104
2834,"Einfügung des Artikels 84 Abs. 1 Satz 7, des Artikels 85 Abs. 1 Satz 2 oder des Artikels 105 Abs. 2a Satz 2 oder
",113
2835,"wegen der Aufhebung der Artikel 74a, 75 oder 98 Abs. 3 Satz 2 nicht mehr als Bundesrecht erlassen werden
",105
2836,"könnte, gilt als Bundesrecht fort. Es kann durch Landesrecht ersetzt werden.
",77
2837,"(2) Recht, das auf Grund des Artikels 72 Abs. 2 in der bis zum 15. November 1994 geltenden Fassung erlassen
",108
2838,"worden ist, aber wegen Änderung des Artikels 72 Abs. 2 nicht mehr als Bundesrecht erlassen werden könnte,
",106
2839,"gilt als Bundesrecht fort. Durch Bundesgesetz kann bestimmt werden, dass es durch Landesrecht ersetzt werden
",109
2840,"kann.
",6
2841,"(3) Recht, das als Landesrecht erlassen worden ist, aber wegen Änderung des Artikels 73 nicht mehr als
",103
2842,"Landesrecht erlassen werden könnte, gilt als Landesrecht fort. Es kann durch Bundesrecht ersetzt werden.
",105
2843,"Art 125b 
",10
2844,"
",1
2845," 
",2
2846,"
",1
2847,"(1) Recht, das auf Grund des Artikels 75 in der bis zum 1. September 2006 geltenden Fassung erlassen worden
",108
2848,"ist und das auch nach diesem Zeitpunkt als Bundesrecht erlassen werden könnte, gilt als Bundesrecht fort.
",106
2849,"Befugnisse und Verpflichtungen der Länder zur Gesetzgebung bleiben insoweit bestehen. Auf den in Artikel
",105
2850,"- Seite 41 von 50 -
",20
2851,"
",1
2852,"Ein Service des Bundesministeriums der Justiz und für Verbraucherschutz
",73
2853,"sowie des Bundesamts für Justiz ‒ www.gesetze-im-internet.de
",61
2854,"
",1
2855,"72 Abs. 3 Satz 1 genannten Gebieten können die Länder von diesem Recht abweichende Regelungen treffen,
",103
2856,"auf den Gebieten des Artikels 72 Abs. 3 Satz 1 Nr. 2, 5 und 6 jedoch erst, wenn und soweit der Bund ab dem 1.
",110
2857,"September 2006 von seiner Gesetzgebungszuständigkeit Gebrauch gemacht hat, in den Fällen der Nummern 2
",103
2858,"und 5 spätestens ab dem 1. Januar 2010, im Falle der Nummer 6 spätestens ab dem 1. August 2008.
",96
2859,"(2) Von bundesgesetzlichen Regelungen, die auf Grund des Artikels 84 Abs. 1 in der vor dem 1. September 2006
",109
2860,"geltenden Fassung erlassen worden sind, können die Länder abweichende Regelungen treffen, von Regelungen
",105
2861,"des Verwaltungsverfahrens bis zum 31. Dezember 2008 aber nur dann, wenn ab dem 1. September 2006 in dem
",104
2862,"jeweiligen Bundesgesetz Regelungen des Verwaltungsverfahrens geändert worden sind.
",83
2863,"Art 125c 
",10
2864,"
",1
2865," 
",2
2866,"
",1
2867,"(1) Recht, das auf Grund des Artikels 91a Abs. 2 in Verbindung mit Abs. 1 Nr. 1 in der bis zum 1. September 2006
",113
2868,"geltenden Fassung erlassen worden ist, gilt bis zum 31. Dezember 2006 fort.
",76
2869,"(2) Die nach Artikel 104a Abs. 4 in der bis zum 1. September 2006 geltenden Fassung in den Bereichen der
",105
2870,"Gemeindeverkehrsfinanzierung und der sozialen Wohnraumförderung geschaffenen Regelungen gelten bis zum
",103
2871,"31. Dezember 2006 fort. Die im Bereich der Gemeindeverkehrsfinanzierung für die besonderen Programme
",101
2872,"nach § 6 Absatz 1 des Gemeindeverkehrsfinanzierungsgesetzes sowie die mit dem Gesetz über Finanzhilfen
",103
2873,"des Bundes nach Artikel 104a Absatz 4 des Grundgesetzes an die Länder Bremen, Hamburg, MecklenburgVorpommern, Niedersachsen sowie Schleswig-Holstein für Seehäfen vom 20. Dezember 2001 nach Artikel 104a
",202
2874,"Absatz 4 in der bis zum 1. September 2006 geltenden Fassung geschaffenen Regelungen gelten bis zu ihrer
",104
2875,"Aufhebung fort. Eine Änderung des Gemeindeverkehrsfinanzierungsgesetzes durch Bundesgesetz ist ab dem
",102
2876,"1. Januar 2025 zulässig. Die sonstigen nach Artikel 104a Absatz 4 in der bis zum 1. September 2006 geltenden
",109
2877,"Fassung geschaffenen Regelungen gelten bis zum 31. Dezember 2019 fort, soweit nicht ein früherer Zeitpunkt
",107
2878,"für das Außerkrafttreten bestimmt ist oder wird.
",49
2879,"Art 126 
",9
2880,"
",1
2881," 
",2
2882,"
",1
2883,"Meinungsverschiedenheiten über das Fortgelten von Recht als Bundesrecht entscheidet das
",88
2884,"Bundesverfassungsgericht.
",26
2885,"Art 127 
",9
2886,"
",1
2887," 
",2
2888,"
",1
2889,"Die Bundesregierung kann mit Zustimmung der Regierungen der beteiligten Länder Recht der Verwaltung
",100
2890,"des Vereinigten Wirtschaftsgebietes, soweit es nach Artikel 124 oder 125 als Bundesrecht fortgilt, innerhalb
",109
2891,"eines Jahres nach Verkündung dieses Grundgesetzes in den Ländern Baden, Groß-Berlin, Rheinland-Pfalz und
",105
2892,"Württemberg-Hohenzollern in Kraft setzen.
",42
2893,"Art 128 
",9
2894,"
",1
2895," 
",2
2896,"
",1
2897,"Soweit fortgeltendes Recht Weisungsrechte im Sinne des Artikels 84 Abs. 5 vorsieht, bleiben sie bis zu einer
",109
2898,"anderweitigen gesetzlichen Regelung bestehen.
",46
2899,"Art 129 
",9
2900,"
",1
2901," 
",2
2902,"
",1
2903,"(1) Soweit in Rechtsvorschriften, die als Bundesrecht fortgelten, eine Ermächtigung zum Erlasse von
",100
2904,"Rechtsverordnungen oder allgemeinen Verwaltungsvorschriften sowie zur Vornahme von Verwaltungsakten
",100
2905,"enthalten ist, geht sie auf die nunmehr sachlich zuständigen Stellen über. In Zweifelsfällen entscheidet die
",109
2906,"Bundesregierung im Einvernehmen mit dem Bundesrate; die Entscheidung ist zu veröffentlichen.
",93
2907,"(2) Soweit in Rechtsvorschriften, die als Landesrecht fortgelten, eine solche Ermächtigung enthalten ist, wird sie
",115
2908,"von den nach Landesrecht zuständigen Stellen ausgeübt.
",55
2909,"(3) Soweit Rechtsvorschriften im Sinne der Absätze 1 und 2 zu ihrer Änderung oder Ergänzung oder zum Erlaß
",107
2910,"von Rechtsvorschriften an Stelle von Gesetzen ermächtigen, sind diese Ermächtigungen erloschen.
",96
2911,"(4) Die Vorschriften der Absätze 1 und 2 gelten entsprechend, soweit in Rechtsvorschriften auf nicht mehr
",106
2912,"geltende Vorschriften oder nicht mehr bestehende Einrichtungen verwiesen ist.
",78
2913,"Art 130 
",9
2914,"
",1
2915," 
",2
2916,"
",1
2917,"(1) Verwaltungsorgane und sonstige der öffentlichen Verwaltung oder Rechtspflege dienende Einrichtungen,
",105
2918,"die nicht auf Landesrecht oder Staatsverträgen zwischen Ländern beruhen, sowie die Betriebsvereinigung der
",107
2919,"- Seite 42 von 50 -
",20
2920,"
",1
2921,"Ein Service des Bundesministeriums der Justiz und für Verbraucherschutz
",73
2922,"sowie des Bundesamts für Justiz ‒ www.gesetze-im-internet.de
",61
2923,"
",1
2924,"südwestdeutschen Eisenbahnen und der Verwaltungsrat für das Post- und Fernmeldewesen für das französische
",106
2925,"Besatzungsgebiet unterstehen der Bundesregierung. Diese regelt mit Zustimmung des Bundesrates die
",98
2926,"Überführung, Auflösung oder Abwicklung.
",40
2927,"(2) Oberster Disziplinarvorgesetzter der Angehörigen dieser Verwaltungen und Einrichtungen ist der zuständige
",110
2928,"Bundesminister.
",16
2929,"(3) Nicht landesunmittelbare und nicht auf Staatsverträgen zwischen den Ländern beruhende Körperschaften
",105
2930,"und Anstalten des öffentlichen Rechtes unterstehen der Aufsicht der zuständigen obersten Bundesbehörde.
",104
2931,"Art 131 
",9
2932,"
",1
2933," 
",2
2934,"
",1
2935,"Die Rechtsverhältnisse von Personen einschließlich der Flüchtlinge und Vertriebenen, die am 8. Mai 1945 im
",107
2936,"öffentlichen Dienste standen, aus anderen als beamten- oder tarifrechtlichen Gründen ausgeschieden sind und
",108
2937,"bisher nicht oder nicht ihrer früheren Stellung entsprechend verwendet werden, sind durch Bundesgesetz zu
",106
2938,"regeln. Entsprechendes gilt für Personen einschließlich der Flüchtlinge und Vertriebenen, die am 8. Mai 1945
",109
2939,"versorgungsberechtigt waren und aus anderen als beamten- oder tarifrechtlichen Gründen keine oder keine
",104
2940,"entsprechende Versorgung mehr erhalten. Bis zum Inkrafttreten des Bundesgesetzes können vorbehaltlich
",102
2941,"anderweitiger landesrechtlicher Regelung Rechtsansprüche nicht geltend gemacht werden.
",87
2942,"Art 132 
",9
2943,"
",1
2944," 
",2
2945,"
",1
2946,"(1) Beamte und Richter, die im Zeitpunkte des Inkrafttretens dieses Grundgesetzes auf Lebenszeit angestellt
",108
2947,"sind, können binnen sechs Monaten nach dem ersten Zusammentritt des Bundestages in den Ruhestand oder
",102
2948,"Wartestand oder in ein Amt mit niedrigerem Diensteinkommen versetzt werden, wenn ihnen die persönliche oder
",108
2949,"fachliche Eignung für ihr Amt fehlt. Auf Angestellte, die in einem unkündbaren Dienstverhältnis stehen, findet
",111
2950,"diese Vorschrift entsprechende Anwendung. Bei Angestellten, deren Dienstverhältnis kündbar ist, können über
",108
2951,"die tarifmäßige Regelung hinausgehende Kündigungsfristen innerhalb der gleichen Frist aufgehoben werden.
",105
2952,"(2) Diese Bestimmung findet keine Anwendung auf Angehörige des öffentlichen Dienstes, die von den
",98
2953,"Vorschriften über die ""Befreiung von Nationalsozialismus und Militarismus"" nicht betroffen oder die anerkannte
",111
2954,"Verfolgte des Nationalsozialismus sind, sofern nicht ein wichtiger Grund in ihrer Person vorliegt.
",99
2955,"(3) Den Betroffenen steht der Rechtsweg gemäß Artikel 19 Abs. 4 offen.
",71
2956,"(4) Das Nähere bestimmt eine Verordnung der Bundesregierung, die der Zustimmung des Bundesrates bedarf.
",104
2957,"Art 133 
",9
2958,"
",1
2959," 
",2
2960,"
",1
2961,"Der Bund tritt in die Rechte und Pflichten der Verwaltung des Vereinigten Wirtschaftsgebietes ein.
",99
2962,"Art 134 
",9
2963,"
",1
2964," 
",2
2965,"
",1
2966,"(1) Das Vermögen des Reiches wird grundsätzlich Bundesvermögen.
",64
2967,"(2) Soweit es nach seiner ursprünglichen Zweckbestimmung überwiegend für Verwaltungsaufgaben bestimmt
",102
2968,"war, die nach diesem Grundgesetze nicht Verwaltungsaufgaben des Bundes sind, ist es unentgeltlich auf die
",106
2969,"nunmehr zuständigen Aufgabenträger und, soweit es nach seiner gegenwärtigen, nicht nur vorübergehenden
",103
2970,"Benutzung Verwaltungsaufgaben dient, die nach diesem Grundgesetze nunmehr von den Ländern zu erfüllen
",102
2971,"sind, auf die Länder zu übertragen. Der Bund kann auch sonstiges Vermögen den Ländern übertragen.
",98
2972,"(3) Vermögen, das dem Reich von den Ländern und Gemeinden (Gemeindeverbänden) unentgeltlich zur
",96
2973,"Verfügung gestellt wurde, wird wiederum Vermögen der Länder und Gemeinden (Gemeindeverbände), soweit es
",104
2974,"nicht der Bund für eigene Verwaltungsaufgaben benötigt.
",56
2975,"(4) Das Nähere regelt ein Bundesgesetz, das der Zustimmung des Bundesrates bedarf.
",83
2976,"Art 135 
",9
2977,"
",1
2978," 
",2
2979,"
",1
2980,"(1) Hat sich nach dem 8. Mai 1945 bis zum Inkrafttreten dieses Grundgesetzes die Landeszugehörigkeit eines
",107
2981,"Gebietes geändert, so steht in diesem Gebiete das Vermögen des Landes, dem das Gebiet angehört hat, dem
",104
2982,"Lande zu, dem es jetzt angehört.
",33
2983,"
",1
2984,"- Seite 43 von 50 -
",20
2985,"
",1
2986,"Ein Service des Bundesministeriums der Justiz und für Verbraucherschutz
",73
2987,"sowie des Bundesamts für Justiz ‒ www.gesetze-im-internet.de
",61
2988,"
",1
2989,"(2) Das Vermögen nicht mehr bestehender Länder und nicht mehr bestehender anderer Körperschaften und
",101
2990,"Anstalten des öffentlichen Rechtes geht, soweit es nach seiner ursprünglichen Zweckbestimmung überwiegend
",106
2991,"für Verwaltungsaufgaben bestimmt war, oder nach seiner gegenwärtigen, nicht nur vorübergehenden Benutzung
",106
2992,"überwiegend Verwaltungsaufgaben dient, auf das Land oder die Körperschaft oder Anstalt des öffentlichen
",104
2993,"Rechtes über, die nunmehr diese Aufgaben erfüllen.
",51
2994,"(3) Grundvermögen nicht mehr bestehender Länder geht einschließlich des Zubehörs, soweit es nicht bereits zu
",109
2995,"Vermögen im Sinne des Absatzes 1 gehört, auf das Land über, in dessen Gebiet es belegen ist.
",93
2996,"(4) Sofern ein überwiegendes Interesse des Bundes oder das besondere Interesse eines Gebietes es erfordert,
",108
2997,"kann durch Bundesgesetz eine von den Absätzen 1 bis 3 abweichende Regelung getroffen werden.
",93
2998,"(5) Im übrigen wird die Rechtsnachfolge und die Auseinandersetzung, soweit sie nicht bis zum 1. Januar 1952
",108
2999,"durch Vereinbarung zwischen den beteiligten Ländern oder Körperschaften oder Anstalten des öffentlichen
",104
3000,"Rechtes erfolgt, durch Bundesgesetz geregelt, das der Zustimmung des Bundesrates bedarf.
",89
3001,"(6) Beteiligungen des ehemaligen Landes Preußen an Unternehmen des privaten Rechtes gehen auf den Bund
",103
3002,"über. Das Nähere regelt ein Bundesgesetz, das auch Abweichendes bestimmen kann.
",80
3003,"(7) Soweit über Vermögen, das einem Lande oder einer Körperschaft oder Anstalt des öffentlichen Rechtes
",104
3004,"nach den Absätzen 1 bis 3 zufallen würde, von dem danach Berechtigten durch ein Landesgesetz, auf Grund
",104
3005,"eines Landesgesetzes oder in anderer Weise bei Inkrafttreten des Grundgesetzes verfügt worden war, gilt der
",108
3006,"Vermögensübergang als vor der Verfügung erfolgt.
",49
3007,"Art 135a 
",10
3008,"
",1
3009," 
",2
3010,"
",1
3011,"(1) Durch die in Artikel 134 Abs. 4 und Artikel 135 Abs. 5 vorbehaltene Gesetzgebung des Bundes kann auch
",106
3012,"bestimmt werden, daß nicht oder nicht in voller Höhe zu erfüllen sind
",70
3013,"1.   Verbindlichkeiten des Reiches sowie Verbindlichkeiten des ehemaligen Landes Preußen und sonstiger nicht
",109
3014,"mehr bestehender Körperschaften und Anstalten des öffentlichen Rechts,
",71
3015,"2.   Verbindlichkeiten des Bundes oder anderer Körperschaften und Anstalten des öffentlichen Rechts, welche
",108
3016,"mit dem Übergang von Vermögenswerten nach Artikel 89, 90, 134 und 135 im Zusammenhang stehen, und
",98
3017,"Verbindlichkeiten dieser Rechtsträger, die auf Maßnahmen der in Nummer 1 bezeichneten Rechtsträger
",99
3018,"beruhen,
",9
3019," 
",2
3020,"
",1
3021,"3.   Verbindlichkeiten der Länder und Gemeinden (Gemeindeverbände), die aus Maßnahmen entstanden
",97
3022,"sind, welche diese Rechtsträger vor dem 1. August 1945 zur Durchführung von Anordnungen der
",92
3023,"Besatzungsmächte oder zur Beseitigung eines kriegsbedingten Notstandes im Rahmen dem Reich
",91
3024,"obliegender oder vom Reich übertragener Verwaltungsaufgaben getroffen haben.
",77
3025," 
",2
3026,"
",1
3027," 
",2
3028,"
",1
3029,"(2) Absatz 1 findet entsprechende Anwendung auf Verbindlichkeiten der Deutschen Demokratischen Republik
",104
3030,"oder ihrer Rechtsträger sowie auf Verbindlichkeiten des Bundes oder anderer Körperschaften und Anstalten des
",109
3031,"öffentlichen Rechts, die mit dem Übergang von Vermögenswerten der Deutschen Demokratischen Republik auf
",104
3032,"Bund, Länder und Gemeinden im Zusammenhang stehen, und auf Verbindlichkeiten, die auf Maßnahmen der
",100
3033,"Deutschen Demokratischen Republik oder ihrer Rechtsträger beruhen.
",67
3034,"Art 136 
",9
3035,"
",1
3036," 
",2
3037,"
",1
3038,"(1) Der Bundesrat tritt erstmalig am Tage des ersten Zusammentrittes des Bundestages zusammen.
",95
3039,"(2) Bis zur Wahl des ersten Bundespräsidenten werden dessen Befugnisse von dem Präsidenten des Bundesrates
",107
3040,"ausgeübt. Das Recht der Auflösung des Bundestages steht ihm nicht zu.
",70
3041,"Art 137 
",9
3042,"
",1
3043," 
",2
3044,"
",1
3045,"(1) Die Wählbarkeit von Beamten, Angestellten des öffentlichen Dienstes, Berufssoldaten, freiwilligen Soldaten
",111
3046,"auf Zeit und Richtern im Bund, in den Ländern und den Gemeinden kann gesetzlich beschränkt werden.
",99
3047,"(2) Für die Wahl des ersten Bundestages, der ersten Bundesversammlung und des ersten Bundespräsidenten der
",107
3048,"Bundesrepublik gilt das vom Parlamentarischen Rat zu beschließende Wahlgesetz.
",79
3049,"
",1
3050,"- Seite 44 von 50 -
",20
3051,"
",1
3052,"Ein Service des Bundesministeriums der Justiz und für Verbraucherschutz
",73
3053,"sowie des Bundesamts für Justiz ‒ www.gesetze-im-internet.de
",61
3054,"
",1
3055,"(3) Die dem Bundesverfassungsgerichte gemäß Artikel 41 Abs. 2 zustehende Befugnis wird bis zu seiner
",101
3056,"Errichtung von dem Deutschen Obergericht für das Vereinigte Wirtschaftsgebiet wahrgenommen, das nach
",101
3057,"Maßgabe seiner Verfahrensordnung entscheidet.
",46
3058,"Art 138 
",9
3059,"
",1
3060," 
",2
3061,"
",1
3062,"Änderungen der Einrichtungen des jetzt bestehenden Notariats in den Ländern Baden, Bayern, WürttembergBaden und Württemberg-Hohenzollern bedürfen der Zustimmung der Regierungen dieser Länder.
",192
3063,"Art 139 
",9
3064,"
",1
3065," 
",2
3066,"
",1
3067,"Die zur ""Befreiung des deutschen Volkes vom Nationalsozialismus und Militarismus"" erlassenen
",93
3068,"Rechtsvorschriften werden von den Bestimmungen dieses Grundgesetzes nicht berührt.
",83
3069,"Art 140 
",9
3070,"
",1
3071," 
",2
3072,"
",1
3073,"Die Bestimmungen der Artikel 136, 137, 138, 139 und 141 der deutschen Verfassung vom 11. August 1919 sind
",106
3074,"Bestandteil dieses Grundgesetzes.
",34
3075,"Fußnote
",8
3076,"(+++ Nichtamtlicher Hinweis:
",29
3077,"Die aufgeführten Artikel der deutschen Verfassung vom 11.8.1919 - ebenfalls abgedruckt unter der FNA Nr. 1002 (siehe juris-Abk: WRV) - lauten wie folgt:
",153
3078," 
",2
3079,"Art. 136
",9
3080,"(1) Die bürgerlichen und staatsbürgerlichen Rechte und Pflichten werden durch die Ausübung der
",95
3081,"Religionsfreiheit weder bedingt noch beschränkt.
",49
3082,"(2) Der Genuß bürgerlicher und staatsbürgerlicher Rechte sowie die Zulassung zu öffentlichen Ämtern sind
",105
3083,"unabhängig von dem religiösen Bekenntnis.
",42
3084,"(3) Niemand ist verpflichtet, seine religiöse Überzeugung zu offenbaren. Die Behörden haben nur soweit das
",107
3085,"Recht, nach der Zugehörigkeit zu einer Religionsgesellschaft zu fragen, als davon Rechte und Pflichten abhängen
",112
3086,"oder eine gesetzlich angeordnete statistische Erhebung dies erfordert.
",71
3087,"(4) Niemand darf zu einer kirchlichen Handlung oder Feierlichkeit oder zur Teilnahme an religiösen Übungen oder
",112
3088,"zur Benutzung einer religiösen Eidesform gezwungen werden.
",59
3089," 
",2
3090,"Art. 137
",9
3091,"(1) Es besteht keine Staatskirche.
",35
3092,"(2) Die Freiheit der Vereinigung zu Religionsgesellschaften wird gewährleistet. Der Zusammenschluß von
",103
3093,"Religionsgesellschaften innerhalb des Reichsgebiets unterliegt keinen Beschränkungen.
",86
3094,"(3) Jede Religionsgesellschaft ordnet und verwaltet ihre Angelegenheiten selbständig innerhalb der Schranken
",109
3095,"des für alle geltenden Gesetzes. Sie verleiht ihre Ämter ohne Mitwirkung des Staates oder der bürgerlichen
",107
3096,"Gemeinde.
",10
3097,"(4) Religionsgesellschaften erwerben die Rechtsfähigkeit nach den allgemeinen Vorschriften des bürgerlichen
",108
3098,"Rechtes.
",9
3099,"(5) Die Religionsgesellschaften bleiben Körperschaften des öffentlichen Rechtes, soweit sie solche bisher
",106
3100,"waren. Anderen Religionsgesellschaften sind auf ihren Antrag gleiche Rechte zu gewähren, wenn sie durch
",104
3101,"ihre Verfassung und die Zahl ihrer Mitglieder die Gewähr der Dauer bieten. Schließen sich mehrere derartige
",108
3102,"öffentlich-rechtliche Religionsgesellschaften zu einem Verbande zusammen, so ist auch dieser Verband eine
",106
3103,"öffentlich-rechtliche Körperschaft.
",36
3104,"(6) Die Religionsgesellschaften, welche Körperschaften des öffentlichen Rechtes sind, sind berechtigt, auf Grund
",113
3105,"der bürgerlichen Steuerlisten nach Maßgabe der landesrechtlichen Bestimmungen Steuern zu erheben.
",98
3106,"- Seite 45 von 50 -
",20
3107,"
",1
3108,"Ein Service des Bundesministeriums der Justiz und für Verbraucherschutz
",73
3109,"sowie des Bundesamts für Justiz ‒ www.gesetze-im-internet.de
",61
3110,"
",1
3111,"(7) Den Religionsgesellschaften werden die Vereinigungen gleichgestellt, die sich die gemeinschaftliche Pflege
",111
3112,"einer Weltanschauung zur Aufgabe machen.
",41
3113,"(8) Soweit die Durchführung dieser Bestimmungen eine weitere Regelung erfordert, liegt diese der
",97
3114,"Landesgesetzgebung ob.
",23
3115," 
",2
3116,"Art. 138
",9
3117,"(1) Die auf Gesetz, Vertrag oder besonderen Rechtstiteln beruhenden Staatsleistungen an die
",92
3118,"Religionsgesellschaften werden durch die Landesgesetzgebung abgelöst. Die Grundsätze hierfür stellt das Reich
",110
3119,"auf.
",5
3120,"(2) Das Eigentum und andere Rechte der Religionsgesellschaften und religiösen Vereine an ihren für Kultus, Unterrichts- und Wohltätigkeitszwecke bestimmten Anstalten, Stiftungen und sonstigen Vermögen werden
",208
3121,"gewährleistet.
",15
3122," 
",2
3123,"Art. 139
",9
3124,"Der Sonntag und die staatlich anerkannten Feiertage bleiben als Tage der Arbeitsruhe und der seelischen
",104
3125,"Erhebung gesetzlich geschützt.
",31
3126," 
",2
3127,"Art. 141
",9
3128,"Soweit das Bedürfnis nach Gottesdienst und Seelsorge im Heer, in Krankenhäusern, Strafanstalten oder
",101
3129,"sonstigen öffentlichen Anstalten besteht, sind die Religionsgesellschaften zur Vornahme religiöser Handlungen
",110
3130,"zuzulassen, wobei jeder Zwang fernzuhalten ist.
",48
3131,"+++)
",5
3132,"Art 141 
",9
3133,"
",1
3134," 
",2
3135,"
",1
3136,"Artikel 7 Abs. 3 Satz 1 findet keine Anwendung in einem Lande, in dem am 1. Januar 1949 eine andere
",100
3137,"landesrechtliche Regelung bestand.
",35
3138,"Art 142 
",9
3139,"
",1
3140," 
",2
